designator,Mid X,Mid Y,Layer,rotation
ADC1,-15.16,37.24,Top,180
C1,-11.43,13.21,Top,90
C2,64.77,11.18,Top,0
C3,64.77,36.58,Top,0
C4,-11.43,17.27,Top,270
C5,-11.43,25.4,Top,90
C6,38.1,27.94,Top,270
C7,34.67,22.86,Top,0
C8,-12.7,-37.59,Top,180
C9,-11.43,30.48,Top,270
C10,64.77,-39.5,Top,0
C11,-12.83,45.47,Top,0
C12,64.9,-14.22,Top,0
C14,-12.83,42.42,Top,0
C15,-15.75,30.61,Top,270
C16,-11.43,21.46,Top,90
C17,-12.19,50.04,Top,90
C18,-11.18,4.95,Top,270
C19,27.94,-13.97,Top,0
C20,27.94,-16.51,Top,0
C21,34.29,-21.59,Top,180
C22,13.72,-20.32,Top,90
C24,24.13,-16.51,Top,180
C25,11.43,-20.32,Top,90
C27,27.94,-11.43,Top,0
C28,17.14,-3.68,Top,90
C29,25.91,0.25,Top,90
D1,2.54,-50.8,Top,180
D2,2.54,-40.77,Top,180
D3,25.4,-12.7,Top,0
D4,2.54,-43.18,Top,180
D5,2.54,-48.26,Top,180
INDUCT,19.07,-20.3,Top,270
P1,64.77,-36.96,Top,90
P2,64.9,-11.56,Top,90
P3,64.9,13.84,Top,90
P4,64.77,39.24,Top,90
P5,35.56,27.94,Top,180
Q1,45.97,-9.35,Top,270
Q2,50.8,-8.84,Top,270
R3,7.62,-50.93,Top,180
R4,-11.05,8.76,Top,90
R5,-15.62,13.21,Top,90
R6,37.72,6.35,Top,90
R7,45.09,6.35,Top,270
R8,40.64,6.35,Top,270
R9,45.09,10.16,Top,270
R10,40.64,10.16,Top,270
R11,-15.62,8.76,Top,90
R12,7.49,-40.77,Top,180
R13,45.09,13.97,Top,270
R14,40.64,13.97,Top,270
R15,45.09,17.78,Top,270
R16,40.64,17.78,Top,270
R17,45.09,21.59,Top,270
R18,40.64,21.59,Top,270
R19,34.67,11.43,Top,270
R20,33.53,6.35,Top,270
R21,4.32,2.54,Top,90
R22,1.27,2.54,Top,90
R23,7.62,-43.18,Top,180
R24,41.27,-11.81,Top,180
R25,30.35,11.43,Top,270
R26,-15.75,17.4,Top,270
R27,-15.75,25.53,Top,90
R28,-15.75,21.59,Top,90
R29,-14.35,-14.61,Top,90
R30,-10.16,-14.61,Top,90
R31,-14.35,-23.11,Top,90
R32,-10.16,-23.24,Top,90
R33,-14.35,-18.92,Top,90
R34,-10.29,-18.8,Top,90
R35,-10.29,-10.03,Top,90
R36,-14.35,-10.03,Top,90
R37,-16.38,50.04,Top,270
R38,-10.41,1.27,Top,0
R39,-8.64,-40.64,Top,0
R40,-1.4,-36.32,Top,90
R41,-5.84,-36.32,Top,90
R42,-13.59,-40.51,Top,180
R43,-10.41,-1.65,Top,0
R44,-10.41,-4.57,Top,0
R45,7.62,-48.26,Top,180
R46,3.56,-36.58,Top,0
R47,48.26,-6.35,Top,180
R48,50.8,-11.43,Top,180
R49,25.91,-3.56,Top,90
R50,21.46,-3.56,Top,90
R51,17.14,-7.49,Top,90
R52,30.48,-3.43,Top,270
REF1,-16.38,4.78,Top,90
TPS,22.86,-10.5,Top,180
U6,34.29,17.78,Top,90
U7,-12.95,-32.26,Top,270
